,eigval1,eigval2,m_e,b_e,m_w,b_w,perp
1193,(3+3j),(6+0j),6,6,1,4,True
1194,(3+3j),(6+1j),4,5,5,4,True
1195,(3+3j),(6+2j),2,4,3,3,True
1196,(3+3j),(6+3j),0,3,-1,1.0,True
1197,(3+3j),(6+4j),5,2,4,3,True
1198,(3+3j),(6+5j),3,1,2,2,True
1199,(3+3j),(6+6j),1,0,6,2,True
1200,(3+4j),0j,6,0,1,4,True
1201,(3+4j),1j,1,1,6,4,True
1202,(3+4j),2j,3,2,2,0,True
1203,(3+4j),3j,5,3,4,1,True
1204,(3+4j),4j,0,4,-1,5.0,True
1205,(3+4j),5j,2,5,3,0,True
1206,(3+4j),6j,4,6,5,1,True
1207,(3+4j),(1+0j),2,5,3,3,True
1208,(3+4j),(1+1j),5,3,4,5,True
1209,(3+4j),(1+2j),1,1,6,5,True
1210,(3+4j),(1+3j),4,6,5,4,True
1211,(3+4j),(1+4j),0,4,-1,2.0,True
1212,(3+4j),(1+5j),3,2,2,4,True
1213,(3+4j),(1+6j),6,0,1,3,True
1214,(3+4j),(2+0j),4,6,5,0,True
1215,(3+4j),(2+1j),3,2,2,1,True
1216,(3+4j),(2+2j),2,5,3,6,True
1217,(3+4j),(2+3j),1,1,6,6,True
1218,(3+4j),(2+4j),0,4,-1,6.0,True
1219,(3+4j),(2+5j),6,0,1,2,True
1220,(3+4j),(2+6j),5,3,4,2,True
1221,(3+4j),(3+0j),-1,3,0,2,True
1222,(3+4j),(3+1j),-1,3,0,6,True
1223,(3+4j),(3+2j),-1,3,0,3,True
1224,(3+4j),(3+3j),-1,3,0,0,True
1225,(3+4j),(3+5j),-1,3,0,1,True
1226,(3+4j),(3+6j),-1,3,0,5,True
1227,(3+4j),(4+0j),3,2,2,2,True
1228,(3+4j),(4+1j),4,6,5,6,True
1229,(3+4j),(4+2j),5,3,4,3,True
1230,(3+4j),(4+3j),6,0,1,0,True
1231,(3+4j),(4+4j),0,4,-1,0.0,True
1232,(3+4j),(4+5j),1,1,6,1,True
1233,(3+4j),(4+6j),2,5,3,5,True
1234,(3+4j),(5+0j),5,3,4,0,True
1235,(3+4j),(5+1j),2,5,3,1,True
1236,(3+4j),(5+2j),6,0,1,6,True
1237,(3+4j),(5+3j),3,2,2,6,True
1238,(3+4j),(5+4j),0,4,-1,4.0,True
1239,(3+4j),(5+5j),4,6,5,2,True
1240,(3+4j),(5+6j),1,1,6,2,True
1241,(3+4j),(6+0j),1,1,6,3,True
1242,(3+4j),(6+1j),6,0,1,5,True
1243,(3+4j),(6+2j),4,6,5,5,True
1244,(3+4j),(6+3j),2,5,3,4,True
1245,(3+4j),(6+4j),0,4,-1,1.0,True
1246,(3+4j),(6+5j),5,3,4,4,True
1247,(3+4j),(6+6j),3,2,2,3,True
1248,(3+5j),0j,4,0,5,2,True
1249,(3+5j),1j,6,1,1,5,True
1250,(3+5j),2j,1,2,6,5,True
1251,(3+5j),3j,3,3,2,1,True
1252,(3+5j),4j,5,4,4,2,True
1253,(3+5j),5j,0,5,-1,5.0,True
1254,(3+5j),6j,2,6,3,1,True
1255,(3+5j),(1+0j),6,1,1,4,True
1256,(3+5j),(1+1j),2,6,3,4,True
1257,(3+5j),(1+2j),5,4,4,6,True
1258,(3+5j),(1+3j),1,2,6,6,True
1259,(3+5j),(1+4j),4,0,5,5,True
1260,(3+5j),(1+5j),0,5,-1,2.0,True
1261,(3+5j),(1+6j),3,3,2,5,True
1262,(3+5j),(2+0j),5,4,4,3,True
1263,(3+5j),(2+1j),4,0,5,1,True
1264,(3+5j),(2+2j),3,3,2,2,True
1265,(3+5j),(2+3j),2,6,3,0,True
1266,(3+5j),(2+4j),1,2,6,0,True
1267,(3+5j),(2+5j),0,5,-1,6.0,True
1268,(3+5j),(2+6j),6,1,1,3,True
1269,(3+5j),(3+0j),-1,3,0,6,True
1270,(3+5j),(3+1j),-1,3,0,3,True
1271,(3+5j),(3+2j),-1,3,0,0,True
1272,(3+5j),(3+3j),-1,3,0,4,True
1273,(3+5j),(3+4j),-1,3,0,1,True
1274,(3+5j),(3+6j),-1,3,0,2,True
1275,(3+5j),(4+0j),2,6,3,6,True
1276,(3+5j),(4+1j),3,3,2,3,True
1277,(3+5j),(4+2j),4,0,5,0,True
1278,(3+5j),(4+3j),5,4,4,4,True
1279,(3+5j),(4+4j),6,1,1,1,True
1280,(3+5j),(4+5j),0,5,-1,0.0,True
1281,(3+5j),(4+6j),1,2,6,2,True
1282,(3+5j),(5+0j),1,2,6,3,True
1283,(3+5j),(5+1j),5,4,4,1,True
1284,(3+5j),(5+2j),2,6,3,2,True
1285,(3+5j),(5+3j),6,1,1,0,True
1286,(3+5j),(5+4j),3,3,2,0,True
1287,(3+5j),(5+5j),0,5,-1,4.0,True
1288,(3+5j),(5+6j),4,0,5,3,True
1289,(3+5j),(6+0j),3,3,2,4,True
1290,(3+5j),(6+1j),1,2,6,4,True
1291,(3+5j),(6+2j),6,1,1,6,True
1292,(3+5j),(6+3j),4,0,5,6,True
1293,(3+5j),(6+4j),2,6,3,5,True
1294,(3+5j),(6+5j),0,5,-1,1.0,True
1295,(3+5j),(6+6j),5,4,4,5,True
1296,(3+6j),0j,2,0,3,2,True
1297,(3+6j),1j,4,1,5,3,True
1298,(3+6j),2j,6,2,1,6,True
1299,(3+6j),3j,1,3,6,6,True
1300,(3+6j),4j,3,4,2,2,True
1301,(3+6j),5j,5,5,4,3,True
1302,(3+6j),6j,0,6,-1,5.0,True
1303,(3+6j),(1+0j),3,4,2,6,True
1304,(3+6j),(1+1j),6,2,1,5,True
1305,(3+6j),(1+2j),2,0,3,5,True
1306,(3+6j),(1+3j),5,5,4,0,True
1307,(3+6j),(1+4j),1,3,6,0,True
1308,(3+6j),(1+5j),4,1,5,6,True
1309,(3+6j),(1+6j),0,6,-1,2.0,True
1310,(3+6j),(2+0j),6,2,1,4,True
1311,(3+6j),(2+1j),5,5,4,4,True
1312,(3+6j),(2+2j),4,1,5,2,True
1313,(3+6j),(2+3j),3,4,2,3,True
1314,(3+6j),(2+4j),2,0,3,1,True
1315,(3+6j),(2+5j),1,3,6,1,True
1316,(3+6j),(2+6j),0,6,-1,6.0,True
1317,(3+6j),(3+0j),-1,3,0,3,True
1318,(3+6j),(3+1j),-1,3,0,0,True
1319,(3+6j),(3+2j),-1,3,0,4,True
1320,(3+6j),(3+3j),-1,3,0,1,True
1321,(3+6j),(3+4j),-1,3,0,5,True
1322,(3+6j),(3+5j),-1,3,0,2,True
1323,(3+6j),(4+0j),1,3,6,3,True
1324,(3+6j),(4+1j),2,0,3,0,True
1325,(3+6j),(4+2j),3,4,2,4,True
1326,(3+6j),(4+3j),4,1,5,1,True
1327,(3+6j),(4+4j),5,5,4,5,True
1328,(3+6j),(4+5j),6,2,1,2,True
1329,(3+6j),(4+6j),0,6,-1,0.0,True
1330,(3+6j),(5+0j),4,1,5,4,True
1331,(3+6j),(5+1j),1,3,6,4,True
1332,(3+6j),(5+2j),5,5,4,2,True
1333,(3+6j),(5+3j),2,0,3,3,True
1334,(3+6j),(5+4j),6,2,1,1,True
1335,(3+6j),(5+5j),3,4,2,1,True
1336,(3+6j),(5+6j),0,6,-1,4.0,True
1337,(3+6j),(6+0j),5,5,4,6,True
1338,(3+6j),(6+1j),3,4,2,5,True
1339,(3+6j),(6+2j),1,3,6,5,True
1340,(3+6j),(6+3j),6,2,1,0,True
1341,(3+6j),(6+4j),4,1,5,0,True
1342,(3+6j),(6+5j),2,0,3,6,True
1343,(3+6j),(6+6j),0,6,-1,1.0,True
1344,(4+0j),0j,0,0,-1,2.0,True
1345,(4+0j),1j,5,1,4,3,True
1346,(4+0j),2j,3,2,2,4,True
1347,(4+0j),3j,1,3,6,0,True
1348,(4+0j),4j,6,4,1,0,True
1349,(4+0j),5j,4,5,5,3,True
1350,(4+0j),6j,2,6,3,4,True
1351,(4+0j),(1+0j),0,0,-1,6.0,True
1352,(4+0j),(1+1j),2,6,3,0,True
1353,(4+0j),(1+2j),4,5,5,6,True
1354,(4+0j),(1+3j),6,4,1,6,True
1355,(4+0j),(1+4j),1,3,6,1,True
1356,(4+0j),(1+5j),3,2,2,1,True
1357,(4+0j),(1+6j),5,1,4,0,True
1358,(4+0j),(2+0j),0,0,-1,3.0,True
1359,(4+0j),(2+1j),3,2,2,5,True
1360,(4+0j),(2+2j),6,4,1,5,True
1361,(4+0j),(2+3j),2,6,3,3,True
1362,(4+0j),(2+4j),5,1,4,4,True
1363,(4+0j),(2+5j),1,3,6,2,True
1364,(4+0j),(2+6j),4,5,5,2,True
1365,(4+0j),(3+0j),0,0,-1,0.0,True
1366,(4+0j),(3+1j),6,4,1,4,True
1367,(4+0j),(3+2j),5,1,4,1,True
1368,(4+0j),(3+3j),4,5,5,5,True
1369,(4+0j),(3+4j),3,2,2,2,True
1370,(4+0j),(3+5j),2,6,3,6,True
1371,(4+0j),(3+6j),1,3,6,3,True
1372,(4+0j),(4+1j),-1,4,0,4,True
1373,(4+0j),(4+2j),-1,4,0,1,True
1374,(4+0j),(4+3j),-1,4,0,5,True
1375,(4+0j),(4+4j),-1,4,0,2,True
1376,(4+0j),(4+5j),-1,4,0,6,True
1377,(4+0j),(4+6j),-1,4,0,3,True
1378,(4+0j),(5+0j),0,0,-1,1.0,True
1379,(4+0j),(5+1j),1,3,6,5,True
1380,(4+0j),(5+2j),2,6,3,5,True
1381,(4+0j),(5+3j),3,2,2,3,True
1382,(4+0j),(5+4j),4,5,5,4,True
1383,(4+0j),(5+5j),5,1,4,2,True
1384,(4+0j),(5+6j),6,4,1,2,True
1385,(4+0j),(6+0j),0,0,-1,5.0,True
1386,(4+0j),(6+1j),4,5,5,0,True
1387,(4+0j),(6+2j),1,3,6,6,True
1388,(4+0j),(6+3j),5,1,4,6,True
1389,(4+0j),(6+4j),2,6,3,1,True
1390,(4+0j),(6+5j),6,4,1,1,True
1391,(4+0j),(6+6j),3,2,2,0,True
1392,(4+1j),0j,2,0,3,5,True
1393,(4+1j),1j,0,1,-1,2.0,True
1394,(4+1j),2j,5,2,4,4,True
1395,(4+1j),3j,3,3,2,5,True
1396,(4+1j),4j,1,4,6,1,True
1397,(4+1j),5j,6,5,1,1,True
1398,(4+1j),6j,4,6,5,4,True
1399,(4+1j),(1+0j),5,2,4,1,True
1400,(4+1j),(1+1j),0,1,-1,6.0,True
1401,(4+1j),(1+2j),2,0,3,1,True
1402,(4+1j),(1+3j),4,6,5,0,True
1403,(4+1j),(1+4j),6,5,1,0,True
1404,(4+1j),(1+5j),1,4,6,2,True
1405,(4+1j),(1+6j),3,3,2,2,True
1406,(4+1j),(2+0j),4,6,5,3,True
1407,(4+1j),(2+1j),0,1,-1,3.0,True
1408,(4+1j),(2+2j),3,3,2,6,True
1409,(4+1j),(2+3j),6,5,1,6,True
1410,(4+1j),(2+4j),2,0,3,4,True
1411,(4+1j),(2+5j),5,2,4,5,True
1412,(4+1j),(2+6j),1,4,6,3,True
1413,(4+1j),(3+0j),1,4,6,4,True
1414,(4+1j),(3+1j),0,1,-1,0.0,True
1415,(4+1j),(3+2j),6,5,1,5,True
1416,(4+1j),(3+3j),5,2,4,2,True
1417,(4+1j),(3+4j),4,6,5,6,True
1418,(4+1j),(3+5j),3,3,2,3,True
1419,(4+1j),(3+6j),2,0,3,0,True
1420,(4+1j),(4+0j),-1,4,0,4,True
1421,(4+1j),(4+2j),-1,4,0,5,True
1422,(4+1j),(4+3j),-1,4,0,2,True
1423,(4+1j),(4+4j),-1,4,0,6,True
1424,(4+1j),(4+5j),-1,4,0,3,True
1425,(4+1j),(4+6j),-1,4,0,0,True
1426,(4+1j),(5+0j),6,5,1,3,True
1427,(4+1j),(5+1j),0,1,-1,1.0,True
1428,(4+1j),(5+2j),1,4,6,6,True
1429,(4+1j),(5+3j),2,0,3,6,True
1430,(4+1j),(5+4j),3,3,2,4,True
1431,(4+1j),(5+5j),4,6,5,5,True
1432,(4+1j),(5+6j),5,2,4,3,True
1433,(4+1j),(6+0j),3,3,2,1,True
1434,(4+1j),(6+1j),0,1,-1,5.0,True
1435,(4+1j),(6+2j),4,6,5,1,True
1436,(4+1j),(6+3j),1,4,6,0,True
1437,(4+1j),(6+4j),5,2,4,0,True
1438,(4+1j),(6+5j),2,0,3,2,True
1439,(4+1j),(6+6j),6,5,1,2,True
1440,(4+2j),0j,4,0,5,5,True
1441,(4+2j),1j,2,1,3,6,True
1442,(4+2j),2j,0,2,-1,2.0,True
1443,(4+2j),3j,5,3,4,5,True
1444,(4+2j),4j,3,4,2,6,True
1445,(4+2j),5j,1,5,6,2,True
1446,(4+2j),6j,6,6,1,2,True
1447,(4+2j),(1+0j),3,4,2,3,True
1448,(4+2j),(1+1j),5,3,4,2,True
1449,(4+2j),(1+2j),0,2,-1,6.0,True
1450,(4+2j),(1+3j),2,1,3,2,True
1451,(4+2j),(1+4j),4,0,5,1,True
1452,(4+2j),(1+5j),6,6,1,1,True
1453,(4+2j),(1+6j),1,5,6,3,True
1454,(4+2j),(2+0j),1,5,6,4,True
1455,(4+2j),(2+1j),4,0,5,4,True
1456,(4+2j),(2+2j),0,2,-1,3.0,True
1457,(4+2j),(2+3j),3,4,2,0,True
1458,(4+2j),(2+4j),6,6,1,0,True
1459,(4+2j),(2+5j),2,1,3,5,True
1460,(4+2j),(2+6j),5,3,4,6,True
1461,(4+2j),(3+0j),2,1,3,1,True
1462,(4+2j),(3+1j),1,5,6,5,True
1463,(4+2j),(3+2j),0,2,-1,0.0,True
1464,(4+2j),(3+3j),6,6,1,6,True
1465,(4+2j),(3+4j),5,3,4,3,True
1466,(4+2j),(3+5j),4,0,5,0,True
1467,(4+2j),(3+6j),3,4,2,4,True
1468,(4+2j),(4+0j),-1,4,0,1,True
1469,(4+2j),(4+1j),-1,4,0,5,True
1470,(4+2j),(4+3j),-1,4,0,6,True
1471,(4+2j),(4+4j),-1,4,0,3,True
1472,(4+2j),(4+5j),-1,4,0,0,True
1473,(4+2j),(4+6j),-1,4,0,4,True
1474,(4+2j),(5+0j),5,3,4,4,True
1475,(4+2j),(5+1j),6,6,1,4,True
1476,(4+2j),(5+2j),0,2,-1,1.0,True
1477,(4+2j),(5+3j),1,5,6,0,True
1478,(4+2j),(5+4j),2,1,3,0,True
1479,(4+2j),(5+5j),3,4,2,5,True
1480,(4+2j),(5+6j),4,0,5,6,True
1481,(4+2j),(6+0j),6,6,1,3,True
1482,(4+2j),(6+1j),3,4,2,2,True
1483,(4+2j),(6+2j),0,2,-1,5.0,True
1484,(4+2j),(6+3j),4,0,5,2,True
1485,(4+2j),(6+4j),1,5,6,1,True
1486,(4+2j),(6+5j),5,3,4,1,True
1487,(4+2j),(6+6j),2,1,3,3,True
1488,(4+3j),0j,6,0,1,3,True
1489,(4+3j),1j,4,1,5,6,True
1490,(4+3j),2j,2,2,3,0,True
1491,(4+3j),3j,0,3,-1,2.0,True
1492,(4+3j),4j,5,4,4,6,True
1493,(4+3j),5j,3,5,2,0,True
1494,(4+3j),6j,1,6,6,3,True
1495,(4+3j),(1+0j),1,6,6,4,True
1496,(4+3j),(1+1j),3,5,2,4,True
1497,(4+3j),(1+2j),5,4,4,3,True
1498,(4+3j),(1+3j),0,3,-1,6.0,True
1499,(4+3j),(1+4j),2,2,3,3,True
1500,(4+3j),(1+5j),4,1,5,2,True
1501,(4+3j),(1+6j),6,0,1,2,True
1502,(4+3j),(2+0j),5,4,4,0,True
1503,(4+3j),(2+1j),1,6,6,5,True
1504,(4+3j),(2+2j),4,1,5,5,True
1505,(4+3j),(2+3j),0,3,-1,3.0,True
1506,(4+3j),(2+4j),3,5,2,1,True
1507,(4+3j),(2+5j),6,0,1,1,True
1508,(4+3j),(2+6j),2,2,3,6,True
1509,(4+3j),(3+0j),3,5,2,5,True
1510,(4+3j),(3+1j),2,2,3,2,True
1511,(4+3j),(3+2j),1,6,6,6,True
1512,(4+3j),(3+3j),0,3,-1,0.0,True
1513,(4+3j),(3+4j),6,0,1,0,True
1514,(4+3j),(3+5j),5,4,4,4,True
1515,(4+3j),(3+6j),4,1,5,1,True
1516,(4+3j),(4+0j),-1,4,0,5,True
1517,(4+3j),(4+1j),-1,4,0,2,True
1518,(4+3j),(4+2j),-1,4,0,6,True
1519,(4+3j),(4+4j),-1,4,0,0,True
1520,(4+3j),(4+5j),-1,4,0,4,True
1521,(4+3j),(4+6j),-1,4,0,1,True
1522,(4+3j),(5+0j),4,1,5,0,True
1523,(4+3j),(5+1j),5,4,4,5,True
1524,(4+3j),(5+2j),6,0,1,5,True
1525,(4+3j),(5+3j),0,3,-1,1.0,True
1526,(4+3j),(5+4j),1,6,6,1,True
1527,(4+3j),(5+5j),2,2,3,1,True
1528,(4+3j),(5+6j),3,5,2,6,True
1529,(4+3j),(6+0j),2,2,3,4,True
1530,(4+3j),(6+1j),6,0,1,4,True
1531,(4+3j),(6+2j),3,5,2,3,True
1532,(4+3j),(6+3j),0,3,-1,5.0,True
1533,(4+3j),(6+4j),4,1,5,3,True
1534,(4+3j),(6+5j),1,6,6,2,True
1535,(4+3j),(6+6j),5,4,4,2,True
1536,(4+4j),0j,1,0,6,4,True
1537,(4+4j),1j,6,1,1,4,True
1538,(4+4j),2j,4,2,5,0,True
1539,(4+4j),3j,2,3,3,1,True
1540,(4+4j),4j,0,4,-1,2.0,True
1541,(4+4j),5j,5,5,4,0,True
1542,(4+4j),6j,3,6,2,1,True
1543,(4+4j),(1+0j),6,1,1,3,True
1544,(4+4j),(1+1j),1,0,6,5,True
1545,(4+4j),(1+2j),3,6,2,5,True
1546,(4+4j),(1+3j),5,5,4,4,True
1547,(4+4j),(1+4j),0,4,-1,6.0,True
1548,(4+4j),(1+5j),2,3,3,4,True
1549,(4+4j),(1+6j),4,2,5,3,True
1550,(4+4j),(2+0j),2,3,3,0,True
1551,(4+4j),(2+1j),5,5,4,1,True
1552,(4+4j),(2+2j),1,0,6,6,True
1553,(4+4j),(2+3j),4,2,5,6,True
1554,(4+4j),(2+4j),0,4,-1,3.0,True
1555,(4+4j),(2+5j),3,6,2,2,True
1556,(4+4j),(2+6j),6,1,1,2,True
1557,(4+4j),(3+0j),4,2,5,2,True
1558,(4+4j),(3+1j),3,6,2,6,True
1559,(4+4j),(3+2j),2,3,3,3,True
1560,(4+4j),(3+3j),1,0,6,0,True
1561,(4+4j),(3+4j),0,4,-1,0.0,True
1562,(4+4j),(3+5j),6,1,1,1,True
1563,(4+4j),(3+6j),5,5,4,5,True
1564,(4+4j),(4+0j),-1,4,0,2,True
1565,(4+4j),(4+1j),-1,4,0,6,True
1566,(4+4j),(4+2j),-1,4,0,3,True
1567,(4+4j),(4+3j),-1,4,0,0,True
1568,(4+4j),(4+5j),-1,4,0,1,True
1569,(4+4j),(4+6j),-1,4,0,5,True
1570,(4+4j),(5+0j),3,6,2,0,True
1571,(4+4j),(5+1j),4,2,5,1,True
1572,(4+4j),(5+2j),5,5,4,6,True
1573,(4+4j),(5+3j),6,1,1,6,True
1574,(4+4j),(5+4j),0,4,-1,1.0,True
1575,(4+4j),(5+5j),1,0,6,2,True
1576,(4+4j),(5+6j),2,3,3,2,True
1577,(4+4j),(6+0j),5,5,4,3,True
1578,(4+4j),(6+1j),2,3,3,5,True
1579,(4+4j),(6+2j),6,1,1,5,True
1580,(4+4j),(6+3j),3,6,2,4,True
1581,(4+4j),(6+4j),0,4,-1,5.0,True
1582,(4+4j),(6+5j),4,2,5,4,True
1583,(4+4j),(6+6j),1,0,6,3,True
1584,(4+5j),0j,3,0,2,2,True
1585,(4+5j),1j,1,1,6,5,True
1586,(4+5j),2j,6,2,1,5,True
1587,(4+5j),3j,4,3,5,1,True
1588,(4+5j),4j,2,4,3,2,True
1589,(4+5j),5j,0,5,-1,2.0,True
1590,(4+5j),6j,5,6,4,1,True
1591,(4+5j),(1+0j),4,3,5,4,True
1592,(4+5j),(1+1j),6,2,1,4,True
1593,(4+5j),(1+2j),1,1,6,6,True
1594,(4+5j),(1+3j),3,0,2,6,True
1595,(4+5j),(1+4j),5,6,4,5,True
1596,(4+5j),(1+5j),0,5,-1,6.0,True
1597,(4+5j),(1+6j),2,4,3,5,True
1598,(4+5j),(2+0j),6,2,1,3,True
1599,(4+5j),(2+1j),2,4,3,1,True
1600,(4+5j),(2+2j),5,6,4,2,True
1601,(4+5j),(2+3j),1,1,6,0,True
1602,(4+5j),(2+4j),4,3,5,0,True
1603,(4+5j),(2+5j),0,5,-1,3.0,True
1604,(4+5j),(2+6j),3,0,2,3,True
1605,(4+5j),(3+0j),5,6,4,6,True
1606,(4+5j),(3+1j),4,3,5,3,True
1607,(4+5j),(3+2j),3,0,2,0,True
1608,(4+5j),(3+3j),2,4,3,4,True
1609,(4+5j),(3+4j),1,1,6,1,True
1610,(4+5j),(3+5j),0,5,-1,0.0,True
1611,(4+5j),(3+6j),6,2,1,2,True
1612,(4+5j),(4+0j),-1,4,0,6,True
1613,(4+5j),(4+1j),-1,4,0,3,True
1614,(4+5j),(4+2j),-1,4,0,0,True
1615,(4+5j),(4+3j),-1,4,0,4,True
1616,(4+5j),(4+4j),-1,4,0,1,True
1617,(4+5j),(4+6j),-1,4,0,2,True
1618,(4+5j),(5+0j),2,4,3,3,True
1619,(4+5j),(5+1j),3,0,2,1,True
1620,(4+5j),(5+2j),4,3,5,2,True
1621,(4+5j),(5+3j),5,6,4,0,True
1622,(4+5j),(5+4j),6,2,1,0,True
1623,(4+5j),(5+5j),0,5,-1,1.0,True
1624,(4+5j),(5+6j),1,1,6,3,True
1625,(4+5j),(6+0j),1,1,6,4,True
1626,(4+5j),(6+1j),5,6,4,4,True
1627,(4+5j),(6+2j),2,4,3,6,True
1628,(4+5j),(6+3j),6,2,1,6,True
1629,(4+5j),(6+4j),3,0,2,5,True
1630,(4+5j),(6+5j),0,5,-1,5.0,True
1631,(4+5j),(6+6j),4,3,5,5,True
1632,(4+6j),0j,5,0,4,2,True
1633,(4+6j),1j,3,1,2,3,True
1634,(4+6j),2j,1,2,6,6,True
1635,(4+6j),3j,6,3,1,6,True
1636,(4+6j),4j,4,4,5,2,True
1637,(4+6j),5j,2,5,3,3,True
1638,(4+6j),6j,0,6,-1,2.0,True
1639,(4+6j),(1+0j),2,5,3,6,True
1640,(4+6j),(1+1j),4,4,5,5,True
1641,(4+6j),(1+2j),6,3,1,5,True
1642,(4+6j),(1+3j),1,2,6,0,True
1643,(4+6j),(1+4j),3,1,2,0,True
1644,(4+6j),(1+5j),5,0,4,6,True
1645,(4+6j),(1+6j),0,6,-1,6.0,True
1646,(4+6j),(2+0j),3,1,2,4,True
1647,(4+6j),(2+1j),6,3,1,4,True
1648,(4+6j),(2+2j),2,5,3,2,True
1649,(4+6j),(2+3j),5,0,4,3,True
1650,(4+6j),(2+4j),1,2,6,1,True
1651,(4+6j),(2+5j),4,4,5,1,True
1652,(4+6j),(2+6j),0,6,-1,3.0,True
1653,(4+6j),(3+0j),6,3,1,3,True
1654,(4+6j),(3+1j),5,0,4,0,True
1655,(4+6j),(3+2j),4,4,5,4,True
1656,(4+6j),(3+3j),3,1,2,1,True
1657,(4+6j),(3+4j),2,5,3,5,True
1658,(4+6j),(3+5j),1,2,6,2,True
1659,(4+6j),(3+6j),0,6,-1,0.0,True
1660,(4+6j),(4+0j),-1,4,0,3,True
1661,(4+6j),(4+1j),-1,4,0,0,True
1662,(4+6j),(4+2j),-1,4,0,4,True
1663,(4+6j),(4+3j),-1,4,0,1,True
1664,(4+6j),(4+4j),-1,4,0,5,True
1665,(4+6j),(4+5j),-1,4,0,2,True
1666,(4+6j),(5+0j),1,2,6,4,True
1667,(4+6j),(5+1j),2,5,3,4,True
1668,(4+6j),(5+2j),3,1,2,2,True
1669,(4+6j),(5+3j),4,4,5,3,True
1670,(4+6j),(5+4j),5,0,4,1,True
1671,(4+6j),(5+5j),6,3,1,1,True
1672,(4+6j),(5+6j),0,6,-1,1.0,True
1673,(4+6j),(6+0j),4,4,5,6,True
1674,(4+6j),(6+1j),1,2,6,5,True
1675,(4+6j),(6+2j),5,0,4,5,True
1676,(4+6j),(6+3j),2,5,3,0,True
1677,(4+6j),(6+4j),6,3,1,0,True
1678,(4+6j),(6+5j),3,1,2,6,True
1679,(4+6j),(6+6j),0,6,-1,5.0,True
1680,(5+0j),0j,0,0,-1,6.0,True
1681,(5+0j),1j,4,1,5,2,True
1682,(5+0j),2j,1,2,6,0,True
1683,(5+0j),3j,5,3,4,2,True
1684,(5+0j),4j,2,4,3,5,True
1685,(5+0j),5j,6,5,1,0,True
1686,(5+0j),6j,3,6,2,5,True
1687,(5+0j),(1+0j),0,0,-1,3.0,True
1688,(5+0j),(1+1j),5,3,4,6,True
1689,(5+0j),(1+2j),3,6,2,2,True
1690,(5+0j),(1+3j),1,2,6,1,True
1691,(5+0j),(1+4j),6,5,1,6,True
1692,(5+0j),(1+5j),4,1,5,5,True
1693,(5+0j),(1+6j),2,4,3,1,True
1694,(5+0j),(2+0j),0,0,-1,0.0,True
1695,(5+0j),(2+1j),2,4,3,4,True
1696,(5+0j),(2+2j),4,1,5,1,True
